,pmhc1,neg_control,fold_increase,is_binder,clone_id,outlier
63,3,10,20.0,0,27,0
64,8,3,20.0,0,28,0
65,1,0,20.0,0,29,0
66,15,0,20.0,0,30,0
67,6,0,20.0,0,30,0
68,4,2,20.0,0,31,0
69,7,6,20.0,0,31,0
70,0,5,20.0,0,32,0
71,9,0,20.0,0,33,0
72,4,6,20.0,0,33,0
73,9,0,20.0,0,34,0
74,6,8,20.0,0,34,0
75,5,2,20.0,0,35,0
76,6,5,20.0,0,35,0
77,8,2,20.0,0,35,0
78,3,0,20.0,0,36,0
79,5,5,20.0,0,36,0
80,10,6,20.0,0,36,0
81,5,0,20.0,0,37,0
82,12,17,20.0,0,37,0
83,1,2,20.0,0,38,0
84,2,0,20.0,0,38,0
85,2,1,20.0,0,39,0
86,10,2,20.0,0,39,0
87,2,3,20.0,0,39,0
88,12,0,20.0,0,39,0
89,10,0,20.0,0,40,0
90,6,1,20.0,0,41,0
91,12,2,20.0,0,42,0
92,0,8,20.0,0,42,0
93,11,0,20.0,0,42,0
94,4,2,20.0,0,42,0
95,6,11,20.0,0,43,0
96,4,5,20.0,0,43,0
97,9,0,20.0,0,44,0
98,10,0,20.0,0,44,0
99,3,4,20.0,0,45,0
100,6,0,20.0,0,46,0
101,1,2,20.0,0,46,0
102,18,3,20.0,0,47,0
103,3,9,20.0,0,47,0
104,3,0,20.0,0,48,0
105,3,3,20.0,0,49,0
106,3,0,20.0,0,50,0
107,7,0,20.0,0,51,0
108,1,11,20.0,0,51,0
109,4,1,20.0,0,52,0
110,9,7,20.0,0,52,0
111,0,8,20.0,0,53,0
112,19,0,20.0,0,53,0
113,3,0,20.0,0,54,0
114,2,3,20.0,0,54,0
115,6,6,20.0,0,55,0
116,0,1,20.0,0,56,0
117,2,1,20.0,0,56,0
118,8,1,20.0,0,57,0
119,7,0,20.0,0,57,0
120,6,6,20.0,0,57,0
121,1,0,20.0,0,57,0
122,6,2,20.0,0,58,0
123,10,3,20.0,0,58,0
124,3,0,20.0,0,58,0
125,2,1,20.0,0,59,0
126,10,8,20.0,0,59,0
127,6,0,20.0,0,60,0
128,2,0,20.0,0,61,0
129,4,3,20.0,0,61,0
130,6,1,20.0,0,61,0
131,5,1,20.0,0,62,0
132,5,18,20.0,0,62,0
133,2,1,20.0,0,63,0
134,1,1,20.0,0,64,0
135,5,4,20.0,0,64,0
136,6,11,20.0,0,64,0
137,14,0,20.0,0,65,0
138,1,1,20.0,0,66,0
139,5,0,20.0,0,67,0
140,6,12,20.0,0,67,0
141,11,7,20.0,0,67,0
142,9,8,20.0,0,67,0
143,8,1,20.0,0,67,0
144,3,11,20.0,0,68,0
145,4,6,20.0,0,68,0
146,0,1,20.0,0,68,0
147,9,1,20.0,0,69,0
148,9,7,20.0,0,69,0
149,4,4,20.0,0,69,0
150,10,4,20.0,0,70,0
151,13,2,20.0,0,70,0
152,1,0,20.0,0,70,0
153,1,6,20.0,0,70,0
154,6,11,20.0,0,70,0
155,5,2,20.0,0,70,0
156,16,3,20.0,0,71,0
157,6,5,20.0,0,72,0
158,6,0,20.0,0,72,0
159,5,0,20.0,0,73,0
160,5,1,20.0,0,73,0
161,6,7,20.0,0,74,0
162,7,4,20.0,0,74,0
163,9,5,20.0,0,74,0
164,6,2,20.0,0,74,0
165,3,10,20.0,0,74,0
166,35,5,20.0,0,74,0
167,26,1,20.0,0,74,0
168,4,3,20.0,0,75,0
169,2,5,20.0,0,75,0
170,6,4,20.0,0,76,0
171,6,2,20.0,0,77,0
172,14,1,20.0,0,77,0
173,9,4,20.0,0,77,0
174,9,4,20.0,0,78,0
175,1,0,20.0,0,78,0
176,8,4,20.0,0,78,0
177,1,6,20.0,0,79,0
178,2,2,20.0,0,80,0
179,1,3,20.0,0,80,0
180,7,2,20.0,0,81,0
181,16,1,20.0,0,82,0
182,10,0,20.0,0,83,0
183,4,5,20.0,0,83,0
184,7,3,20.0,0,83,0
185,1,0,20.0,0,83,0
186,16,1,20.0,0,83,0
187,11,17,20.0,0,84,0
188,4,11,20.0,0,84,0
189,0,0,20.0,0,85,0
190,0,2,20.0,0,85,0
191,0,5,20.0,0,85,0
192,2,2,20.0,0,85,0
193,15,8,20.0,0,86,0
194,2,1,20.0,0,87,0
195,6,1,20.0,0,87,0
196,6,3,20.0,0,87,0
197,4,1,20.0,0,87,0
198,8,2,20.0,0,88,0
199,8,3,20.0,0,88,0
200,9,1,20.0,0,88,0
201,2,1,20.0,0,88,0
202,5,11,20.0,0,88,0
203,7,0,20.0,0,89,0
204,11,11,20.0,0,90,0
205,7,4,20.0,0,91,0
206,1,1,20.0,0,91,0
207,7,0,20.0,0,92,0
208,3,2,20.0,0,92,0
209,1,0,20.0,0,92,0
210,7,9,20.0,0,92,0
211,1,2,20.0,0,92,0
212,3,4,20.0,0,92,0
213,15,4,20.0,0,92,0
214,6,2,20.0,0,93,0
215,5,0,20.0,0,93,0
216,4,10,20.0,0,93,0
217,6,2,20.0,0,93,0
218,1,0,20.0,0,93,0
219,4,12,20.0,0,93,0
220,4,5,20.0,0,93,0
221,6,4,20.0,0,94,0
222,4,5,20.0,0,94,0
223,4,0,20.0,0,94,0
224,14,8,20.0,0,95,0
225,12,0,20.0,0,95,0
226,4,2,20.0,0,96,0
227,8,0,20.0,0,96,0
228,33,0,20.0,0,97,0
229,3,3,20.0,0,97,0
230,4,9,20.0,0,98,0
231,2,0,20.0,0,99,0
232,15,0,20.0,0,100,0
233,3,3,20.0,0,100,0
234,1,5,20.0,0,101,0
235,3,6,20.0,0,101,0
236,14,4,20.0,0,102,0
237,9,2,20.0,0,102,0
238,26,10,20.0,0,102,0
239,4,1,20.0,0,102,0
240,4,2,20.0,0,103,0
241,17,1,20.0,0,103,0
242,2,8,20.0,0,104,0
243,11,3,20.0,0,104,0
244,9,7,20.0,0,105,0
245,6,4,20.0,0,105,0
246,3,1,20.0,0,105,0
247,0,2,20.0,0,105,0
248,8,3,20.0,0,106,0
249,2,8,20.0,0,107,0
250,3,2,20.0,0,107,0
251,12,1,20.0,0,107,0
252,3,0,20.0,0,108,0
253,10,0,20.0,0,108,0
254,1,1,20.0,0,108,0
255,1,1,20.0,0,109,0
256,7,2,20.0,0,109,0
257,3,3,20.0,0,109,0
258,5,2,20.0,0,110,0
259,10,1,20.0,0,111,0
260,41,2,20.0,0,111,0
261,8,6,20.0,0,111,0
262,2,4,20.0,0,111,0
263,3,0,20.0,0,111,0
264,1,0,20.0,0,111,0
265,3,0,20.0,0,112,0
266,14,2,20.0,0,112,0
267,6,1,20.0,0,113,0
268,0,0,20.0,0,113,0
269,11,2,20.0,0,113,0
270,10,0,20.0,0,114,0
271,2,0,20.0,0,114,0
272,22,15,20.0,0,115,0
273,6,4,20.0,0,115,0
274,21,9,20.0,0,116,0
275,5,3,20.0,0,117,0
276,2,0,20.0,0,117,0
277,7,0,20.0,0,117,0
278,7,1,20.0,0,118,0
279,4,0,20.0,0,119,0
280,4,5,20.0,0,119,0
281,4,1,20.0,0,119,0
282,0,28,20.0,0,120,0
283,3,5,20.0,0,121,0
284,3,0,20.0,0,121,0
285,6,0,20.0,0,121,0
286,8,3,20.0,0,121,0
287,7,11,20.0,0,122,0
288,12,1,20.0,0,122,0
289,0,3,20.0,0,122,0
290,6,2,20.0,0,122,0
291,6,8,20.0,0,122,0
292,9,0,20.0,0,122,0
293,1,4,20.0,0,122,0
294,6,0,20.0,0,122,0
295,0,0,20.0,0,122,0
296,10,3,20.0,0,122,0
297,0,2,20.0,0,122,0
298,1,6,20.0,0,123,0
299,0,0,20.0,0,123,0
300,9,0,20.0,0,123,0
301,0,6,20.0,0,123,0
302,12,0,20.0,0,124,0
303,31,1,20.0,0,124,0
304,1,2,20.0,0,124,0
305,0,1,20.0,0,124,0
306,14,1,20.0,0,124,0
307,19,5,20.0,0,125,0
308,3,3,20.0,0,126,0
309,6,0,20.0,0,126,0
310,17,0,20.0,0,126,0
311,15,2,20.0,0,126,0
312,22,0,20.0,0,127,0
313,1,4,20.0,0,127,0
314,3,9,20.0,0,128,0
315,1,0,20.0,0,129,0
316,2,0,20.0,0,130,0
317,4,1,20.0,0,130,0
318,13,0,20.0,0,131,0
319,7,4,20.0,0,132,0
320,3,13,20.0,0,132,0
321,15,0,20.0,0,132,0
322,4,16,20.0,0,133,0
323,3,2,20.0,0,133,0
324,4,17,20.0,0,133,0
325,9,8,20.0,0,133,0
326,7,2,20.0,0,133,0
327,1,0,20.0,0,133,0
328,2,4,20.0,0,134,0
329,8,1,20.0,0,134,0
330,2,0,20.0,0,135,0
331,8,1,20.0,0,135,0
332,0,0,20.0,0,135,0
333,6,0,20.0,0,135,0
334,8,0,20.0,0,135,0
335,0,1,20.0,0,135,0
336,6,4,20.0,0,136,0
337,8,5,20.0,0,136,0
338,6,5,20.0,0,137,0
339,27,2,20.0,0,137,0
340,3,20,20.0,0,137,0
341,5,0,20.0,0,137,0
342,1,11,20.0,0,137,0
343,0,0,20.0,0,137,0
344,5,3,20.0,0,138,0
345,3,6,20.0,0,138,0
346,2,3,20.0,0,139,0
347,4,4,20.0,0,139,0
348,9,4,20.0,0,140,0
349,18,0,20.0,0,140,0
350,1,7,20.0,0,141,0
351,0,6,20.0,0,141,0
352,8,9,20.0,0,142,0
353,2,1,20.0,0,142,0
354,13,6,20.0,0,142,0
355,2,2,20.0,0,143,0
356,19,0,20.0,0,144,0
357,2,1,20.0,0,144,0
358,5,0,20.0,0,144,0
359,3,5,20.0,0,145,0
360,2,4,20.0,0,145,0
361,4,1,20.0,0,145,0
362,6,0,20.0,0,145,0
363,5,8,20.0,0,145,0
364,19,3,20.0,0,145,0
365,4,4,20.0,0,146,0
366,13,1,20.0,0,146,0
367,14,15,20.0,0,147,0
368,6,0,20.0,0,148,0
369,5,4,20.0,0,149,0
370,6,3,20.0,0,150,0
371,13,1,20.0,0,150,0
372,3,0,20.0,0,150,0
373,12,0,20.0,0,150,0
374,5,0,20.0,0,151,0
375,8,0,20.0,0,151,0
376,2,6,20.0,0,152,0
377,9,10,20.0,0,152,0
378,17,2,20.0,0,152,0
379,0,5,20.0,0,153,0
380,14,0,20.0,0,153,0
381,9,2,20.0,0,154,0
382,10,3,20.0,0,154,0
383,8,2,20.0,0,154,0
384,21,5,20.0,0,154,0
385,6,1,20.0,0,154,0
386,2,5,20.0,0,155,0
387,6,9,20.0,0,156,0
388,3,8,20.0,0,157,0
389,2,22,20.0,0,158,0
390,0,1,20.0,0,158,0
391,9,7,20.0,0,158,0
392,11,5,20.0,0,158,0
393,4,0,20.0,0,159,0
394,3,0,20.0,0,159,0
395,9,4,20.0,0,159,0
396,12,1,20.0,0,159,0
397,3,2,20.0,0,160,0
398,8,1,20.0,0,161,0
399,2,3,20.0,0,161,0
400,3,7,20.0,0,162,0
401,11,0,20.0,0,163,0
402,13,0,20.0,0,163,0
403,9,4,20.0,0,164,0
404,5,2,20.0,0,165,0
405,14,4,20.0,0,166,0
406,7,1,20.0,0,167,0
407,19,0,20.0,0,167,0
408,3,4,20.0,0,167,0
409,12,9,20.0,0,167,0
410,15,0,20.0,0,167,0
411,6,3,20.0,0,167,0
412,6,6,20.0,0,167,0
413,14,0,20.0,0,167,0
414,0,7,20.0,0,168,0
415,6,8,20.0,0,168,0
416,0,1,20.0,0,168,0
417,2,2,20.0,0,168,0
418,8,1,20.0,0,169,0
419,4,3,20.0,0,170,0
420,4,9,20.0,0,171,0
421,12,6,20.0,0,171,0
422,5,15,20.0,0,171,0
423,2,2,20.0,0,172,0
424,9,0,20.0,0,172,0
425,9,6,20.0,0,172,0
426,3,6,20.0,0,173,0
427,1,3,20.0,0,174,0
428,0,0,20.0,0,174,0
429,3,1,20.0,0,174,0
430,2,0,20.0,0,175,0
431,3,4,20.0,0,175,0
432,5,0,20.0,0,176,0
433,5,2,20.0,0,177,0
434,0,4,20.0,0,178,0
435,9,1,20.0,0,178,0
436,0,7,20.0,0,178,0
437,2,0,20.0,0,178,0
438,4,4,20.0,0,178,0
439,6,4,20.0,0,179,0
440,1,1,20.0,0,179,0
441,0,3,20.0,0,179,0
442,3,1,20.0,0,180,0
443,3,0,20.0,0,181,0
444,12,7,20.0,0,181,0
445,5,2,20.0,0,181,0
446,1,2,20.0,0,181,0
447,10,3,20.0,0,182,0
448,13,7,20.0,0,182,0
449,6,16,20.0,0,183,0
450,12,0,20.0,0,184,0
451,3,6,20.0,0,185,0
452,0,4,20.0,0,185,0
453,8,0,20.0,0,186,0
454,2,1,20.0,0,186,0
455,7,0,20.0,0,187,0
456,7,18,20.0,0,188,0
457,1,0,20.0,0,189,0
458,3,1,20.0,0,190,0
459,4,7,20.0,0,190,0
460,6,0,20.0,0,190,0
461,6,2,20.0,0,191,0
462,4,2,20.0,0,191,0
463,9,9,20.0,0,191,0
464,4,8,20.0,0,192,0
465,0,5,20.0,0,192,0
466,7,1,20.0,0,193,0
467,7,2,20.0,0,193,0
468,10,1,20.0,0,194,0
469,4,2,20.0,0,194,0
470,6,2,20.0,0,194,0
471,1,11,20.0,0,195,0
472,9,1,20.0,0,195,0
473,0,0,20.0,0,196,0
474,6,0,20.0,0,196,0
475,6,5,20.0,0,196,0
476,21,3,20.0,0,196,0
477,6,1,20.0,0,196,0
478,3,0,20.0,0,196,0
479,8,0,20.0,0,196,0
480,1,0,20.0,0,196,0
481,1,2,20.0,0,196,0
482,7,0,20.0,0,197,0
483,4,2,20.0,0,198,0
484,4,6,20.0,0,198,0
485,5,1,20.0,0,198,0
486,4,7,20.0,0,198,0
487,0,2,20.0,0,199,0
488,6,3,20.0,0,200,0
489,2,0,20.0,0,200,0
490,1,0,20.0,0,201,0
491,6,2,20.0,0,201,0
492,4,1,20.0,0,202,0
493,0,1,20.0,0,203,0
494,5,5,20.0,0,203,0
495,17,6,20.0,0,204,0
496,3,3,20.0,0,204,0
497,2,1,20.0,0,204,0
498,6,1,20.0,0,204,0
499,4,0,20.0,0,204,0
500,0,5,20.0,0,204,0
501,5,5,20.0,0,205,0
502,10,1,20.0,0,205,0
503,12,1,20.0,0,205,0
504,10,0,20.0,0,206,0
505,4,2,20.0,0,206,0
506,1,16,20.0,0,207,0
507,4,0,20.0,0,207,0
508,7,1,20.0,0,207,0
509,2,7,20.0,0,207,0
510,0,5,20.0,0,208,0
511,2,0,20.0,0,208,0
512,1,10,20.0,0,208,0
513,7,4,20.0,0,208,0
514,19,1,20.0,0,208,0
515,4,2,20.0,0,208,0
516,3,2,20.0,0,209,0
517,9,0,20.0,0,210,0
518,2,0,20.0,0,211,0
519,11,7,20.0,0,211,0
520,2,0,20.0,0,212,0
521,10,0,20.0,0,213,0
522,8,4,20.0,0,213,0
523,1,0,20.0,0,213,0
524,4,1,20.0,0,214,0
525,2,6,20.0,0,214,0
526,0,4,20.0,0,214,0
527,25,1,20.0,0,214,0
528,0,2,20.0,0,214,0
529,3,4,20.0,0,214,0
530,11,0,20.0,0,215,0
531,9,3,20.0,0,215,0
532,1,0,20.0,0,216,0
533,14,6,20.0,0,216,0
534,0,0,20.0,0,217,0
535,0,0,20.0,0,218,0
536,9,6,20.0,0,218,0
537,1,6,20.0,0,219,0
538,11,0,20.0,0,219,0
539,5,1,20.0,0,219,0
540,9,0,20.0,0,220,0
541,8,2,20.0,0,220,0
542,14,2,20.0,0,221,0
543,5,0,20.0,0,221,0
544,10,2,20.0,0,222,0
545,13,0,20.0,0,223,0
546,18,13,20.0,0,224,0
547,6,1,20.0,0,224,0
548,1,3,20.0,0,224,0
549,9,6,20.0,0,225,0
550,14,1,20.0,0,226,0
551,6,0,20.0,0,226,0
552,12,0,20.0,0,226,0
553,3,0,20.0,0,226,0
554,22,0,20.0,0,226,0
555,2,15,20.0,0,226,0
556,11,2,20.0,0,227,0
557,4,5,20.0,0,228,0
558,10,0,20.0,0,229,0
559,3,2,20.0,0,229,0
560,6,3,20.0,0,229,0
561,5,1,20.0,0,229,0
562,0,7,20.0,0,229,0
563,1,0,20.0,0,229,0
564,8,4,20.0,0,229,0
565,1,5,20.0,0,230,0
566,9,11,20.0,0,231,0
567,11,4,20.0,0,232,0
568,8,4,20.0,0,233,0
569,6,3,20.0,0,234,0
570,2,1,20.0,0,235,0
571,8,4,20.0,0,235,0
572,5,1,20.0,0,236,0
573,0,10,20.0,0,236,0
574,0,4,20.0,0,236,0
575,12,3,20.0,0,236,0
576,3,3,20.0,0,236,0
577,6,1,20.0,0,236,0
578,17,0,20.0,0,236,0
579,7,2,20.0,0,236,0
580,4,0,20.0,0,236,0
581,5,1,20.0,0,236,0
582,8,0,20.0,0,236,0
583,10,1,20.0,0,236,0
584,11,8,20.0,0,237,0
585,4,1,20.0,0,238,0
586,1,1,20.0,0,238,0
587,1,0,20.0,0,238,0
588,7,3,20.0,0,239,0
589,2,6,20.0,0,239,0
590,11,3,20.0,0,239,0
591,0,1,20.0,0,240,0
592,9,2,20.0,0,240,0
593,12,4,20.0,0,241,0
594,8,0,20.0,0,241,0
595,18,8,20.0,0,241,0
596,4,0,20.0,0,242,0
597,3,13,20.0,0,242,0
598,11,0,20.0,0,242,0
599,15,4,20.0,0,242,0
600,6,1,20.0,0,243,0
601,14,2,20.0,0,244,0
602,20,1,20.0,0,245,0
603,0,1,20.0,0,245,0
604,0,3,20.0,0,245,0
605,4,0,20.0,0,245,0
606,2,3,20.0,0,245,0
607,11,0,20.0,0,245,0
608,12,0,20.0,0,245,0
609,1,3,20.0,0,246,0
610,2,0,20.0,0,246,0
611,13,0,20.0,0,247,0
612,3,0,20.0,0,247,0
613,4,0,20.0,0,248,0
614,0,0,20.0,0,248,0
615,2,10,20.0,0,249,0
616,21,24,20.0,0,249,0
617,10,6,20.0,0,250,0
618,6,0,20.0,0,250,0
619,9,2,20.0,0,251,0
620,1,0,20.0,0,252,0
621,17,1,20.0,0,252,0
622,1,4,20.0,0,252,0
623,14,0,20.0,0,253,0
624,10,20,20.0,0,254,0
625,4,2,20.0,0,255,0
626,7,1,20.0,0,255,0
627,3,15,20.0,0,255,0
628,5,5,20.0,0,255,0
629,7,5,20.0,0,256,0
630,5,1,20.0,0,257,0
631,10,0,20.0,0,257,0
632,13,5,20.0,0,257,0
633,1,1,20.0,0,258,0
634,0,11,20.0,0,259,0
635,3,1,20.0,0,260,0
636,9,0,20.0,0,260,0
637,0,5,20.0,0,260,0
638,8,9,20.0,0,260,0
639,12,5,20.0,0,260,0
640,2,1,20.0,0,260,0
641,2,2,20.0,0,261,0
642,1,1,20.0,0,261,0
643,2,0,20.0,0,262,0
644,1,1,20.0,0,263,0
645,1,5,20.0,0,263,0
646,16,0,20.0,0,264,0
647,5,0,20.0,0,264,0
648,5,1,20.0,0,265,0
649,2,19,20.0,0,266,0
650,1,0,20.0,0,267,0
651,6,0,20.0,0,267,0
652,3,1,20.0,0,267,0
653,2,0,20.0,0,268,0
654,8,6,20.0,0,268,0
655,9,0,20.0,0,268,0
656,2,0,20.0,0,269,0
657,12,0,20.0,0,269,0
658,2,1,20.0,0,269,0
659,11,3,20.0,0,270,0
660,3,20,20.0,0,271,0
661,3,2,20.0,0,271,0
662,19,1,20.0,0,271,0
663,4,11,20.0,0,272,0
664,9,0,20.0,0,272,0
665,4,1,20.0,0,272,0
666,2,1,20.0,0,273,0
667,15,0,20.0,0,273,0
668,10,3,20.0,0,274,0
669,1,4,20.0,0,274,0
670,8,4,20.0,0,275,0
671,10,9,20.0,0,276,0
672,7,0,20.0,0,276,0
673,2,2,20.0,0,277,0
674,0,0,20.0,0,277,0
675,11,0,20.0,0,278,0
676,9,0,20.0,0,279,0
677,1,10,20.0,0,279,0
678,2,1,20.0,0,279,0
679,1,2,20.0,0,280,0
680,15,2,20.0,0,281,0
681,3,3,20.0,0,282,0
682,10,1,20.0,0,282,0
683,22,8,20.0,0,282,0
684,3,2,20.0,0,282,0
685,3,3,20.0,0,282,0
686,10,0,20.0,0,282,0
687,6,6,20.0,0,282,0
688,9,0,20.0,0,283,0
689,8,4,20.0,0,283,0
690,14,9,20.0,0,283,0
691,3,3,20.0,0,283,0
692,16,6,20.0,0,284,0
693,12,2,20.0,0,285,0
694,14,4,20.0,0,285,0
695,4,6,20.0,0,285,0
696,1,6,20.0,0,286,0
697,0,7,20.0,0,286,0
698,2,1,20.0,0,287,0
699,3,1,20.0,0,287,0
700,6,6,20.0,0,287,0
701,5,0,20.0,0,288,0
702,1,1,20.0,0,289,0
703,4,1,20.0,0,289,0
704,8,3,20.0,0,290,0
705,5,1,20.0,0,290,0
706,2,2,20.0,0,291,0
707,7,6,20.0,0,291,0
708,6,1,20.0,0,291,0
709,0,0,20.0,0,292,0
710,4,0,20.0,0,293,0
711,11,5,20.0,0,293,0
712,4,9,20.0,0,293,0
713,4,2,20.0,0,293,0
714,6,0,20.0,0,293,0
715,4,5,20.0,0,293,0
716,0,1,20.0,0,294,0
717,6,0,20.0,0,295,0
718,8,2,20.0,0,295,0
719,7,1,20.0,0,295,0
720,2,0,20.0,0,295,0
721,7,0,20.0,0,295,0
722,10,0,20.0,0,295,0
723,6,0,20.0,0,295,0
724,5,6,20.0,0,295,0
725,6,1,20.0,0,295,0
726,8,1,20.0,0,295,0
727,13,0,20.0,0,295,0
728,2,0,20.0,0,295,0
729,0,0,20.0,0,295,0
730,8,3,20.0,0,296,0
731,2,6,20.0,0,297,0
732,2,3,20.0,0,297,0
733,3,10,20.0,0,297,0
734,0,7,20.0,0,298,0
735,2,2,20.0,0,298,0
736,10,0,20.0,0,299,0
737,2,1,20.0,0,299,0
738,1,0,20.0,0,299,0
739,5,3,20.0,0,299,0
740,0,5,20.0,0,299,0
741,13,0,20.0,0,299,0
742,4,4,20.0,0,299,0
743,19,0,20.0,0,300,0
744,2,5,20.0,0,301,0
745,5,10,20.0,0,302,0
746,7,1,20.0,0,302,0
747,8,0,20.0,0,302,0
748,4,2,20.0,0,302,0
749,3,2,20.0,0,303,0
750,14,0,20.0,0,303,0
751,16,1,20.0,0,303,0
752,8,3,20.0,0,303,0
753,4,10,20.0,0,304,0
754,3,0,20.0,0,305,0
755,13,1,20.0,0,306,0
756,2,2,20.0,0,306,0
757,6,2,20.0,0,307,0
758,8,3,20.0,0,307,0
759,1,6,20.0,0,307,0
760,3,0,20.0,0,307,0
761,15,10,20.0,0,307,0
762,5,8,20.0,0,307,0
763,9,6,20.0,0,307,0
764,13,0,20.0,0,307,0
765,15,8,20.0,0,308,0
766,2,1,20.0,0,309,0
767,12,2,20.0,0,309,0
768,8,0,20.0,0,309,0
769,9,0,20.0,0,310,0
770,1,0,20.0,0,311,0
771,8,8,20.0,0,312,0
772,1,3,20.0,0,313,0
773,7,2,20.0,0,313,0
774,7,1,20.0,0,314,0
775,10,8,20.0,0,314,0
776,0,4,20.0,0,314,0
777,2,3,20.0,0,314,0
778,3,6,20.0,0,314,0
779,3,10,20.0,0,314,0
780,8,8,20.0,0,315,0
781,5,0,20.0,0,315,0
782,8,1,20.0,0,315,0
783,14,4,20.0,0,315,0
784,13,0,20.0,0,315,0
785,3,5,20.0,0,316,0
786,3,0,20.0,0,316,0
787,15,3,20.0,0,316,0
788,8,0,20.0,0,316,0
789,1,0,20.0,0,317,0
790,8,1,20.0,0,317,0
791,3,5,20.0,0,317,0
792,0,3,20.0,0,317,0
793,19,2,20.0,0,318,0
794,4,9,20.0,0,318,0
795,3,2,20.0,0,319,0
796,15,0,20.0,0,320,0
797,3,1,20.0,0,321,0
798,5,3,20.0,0,321,0
799,20,0,20.0,0,322,0
800,3,1,20.0,0,323,0
801,2,0,20.0,0,324,0
802,0,0,20.0,0,324,0
803,1,1,20.0,0,325,0
804,0,0,20.0,0,326,0
805,1,4,20.0,0,326,0
806,5,1,20.0,0,326,0
807,5,0,20.0,0,327,0
808,10,2,20.0,0,328,0
809,3,4,20.0,0,329,0
810,6,3,20.0,0,329,0
811,2,4,20.0,0,330,0
812,9,4,20.0,0,330,0
813,4,9,20.0,0,330,0
814,4,2,20.0,0,331,0
815,12,0,20.0,0,332,0
816,5,2,20.0,0,332,0
817,12,2,20.0,0,332,0
818,18,1,20.0,0,332,0
819,117,2,20.0,1,333,0
820,7,0,20.0,0,334,0
821,19,2,20.0,0,334,0
822,10,1,20.0,0,334,0
823,0,0,20.0,0,335,0
824,0,0,20.0,0,336,0
825,5,6,20.0,0,337,0
826,1,2,20.0,0,337,0
827,9,3,20.0,0,337,0
828,9,9,20.0,0,338,0
829,11,8,20.0,0,339,0
830,6,3,20.0,0,340,0
831,13,4,20.0,0,341,0
832,5,2,20.0,0,341,0
833,3,0,20.0,0,342,0
834,6,0,20.0,0,342,0
835,3,2,20.0,0,342,0
836,6,3,20.0,0,342,0
837,8,4,20.0,0,342,0
838,1,2,20.0,0,342,0
839,17,0,20.0,0,343,0
840,15,3,20.0,0,343,0
841,0,0,20.0,0,344,0
842,1,5,20.0,0,344,0
843,3,1,20.0,0,344,0
844,8,0,20.0,0,344,0
845,5,0,20.0,0,345,0
846,10,12,20.0,0,345,0
847,1,1,20.0,0,346,0
848,1,11,20.0,0,346,0
849,13,6,20.0,0,346,0
850,15,0,20.0,0,346,0
851,7,4,20.0,0,346,0
852,2,3,20.0,0,346,0
853,2,0,20.0,0,346,0
854,0,0,20.0,0,347,0
855,4,0,20.0,0,348,0
856,0,0,20.0,0,349,0
857,3,0,20.0,0,350,0
858,2,3,20.0,0,350,0
859,2,6,20.0,0,350,0
860,13,3,20.0,0,350,0
861,2,5,20.0,0,351,0
862,5,3,20.0,0,351,0
863,4,2,20.0,0,351,0
864,4,2,20.0,0,352,0
865,13,0,20.0,0,353,0
866,2,1,20.0,0,353,0
867,3,10,20.0,0,353,0
868,16,3,20.0,0,353,0
869,13,7,20.0,0,354,0
870,3,2,20.0,0,354,0
